Starting "SYS"."SYS_EXPORT_TABLE_01":  
Estimate in progress using BLOCKS method...
Processing object type TABLE_EXPORT/TABLE/TABLE_DATA
Total estimation using BLOCKS method: 1.228 GB
Processing object type TABLE_EXPORT/TABLE/TABLE
     Completed 120 TABLE objects in 7 seconds
Processing object type TABLE_EXPORT/TABLE/CONSTRAINT/CONSTRAINT
     Completed 113 CONSTRAINT objects in 1 seconds
Processing object type TABLE_EXPORT/TABLE/CONSTRAINT/REF_CONSTRAINT
     Completed 1 REF_CONSTRAINT objects in 0 seconds
. . exported "SYS"."WRH$_SYSMETRIC_HISTORY"              476.7 KB    8960 rows
. . exported "SYS"."WRH$_SERVICE_WAIT_CLASS":"WRH$_SERVIC_3430975138_1021"  148.7 KB    2870 rows
. . exported "SYS"."WRH$_SERVICE_WAIT_CLASS":"WRH$_SERVIC_3430975138_796"  7.820 KB       0 rows
. . exported "SYS"."WRH$_SGASTAT":"WRH$_SGASTA_3430975138_796"  6.992 KB       0 rows
. . exported "SYS"."WRH$_SYS_TIME_MODEL":"WRH$_SYS_TI_3430975138_796"  6.601 KB       0 rows
. . exported "SYS"."WRH$_TABLESPACE_STAT":"WRH$_TABLES_3430975138_828"  8.617 KB       0 rows
. . exported "SYS"."WRH$_TABLESPACE_STAT":"WRH$_TABLES_3430975138_926"  8.617 KB       0 rows
. . exported "SYS"."WRH$_TABLESPACE_STAT":"WRH$_TABLES_3430975138_950"  8.617 KB       0 rows
. . exported "SYS"."WRH$_WAITSTAT":"WRH$_WAITST_3430975138_796"  6.992 KB       0 rows
. . exported "SYS"."WRH$_ACTIVE_SESSION_HISTORY":"WRH$_ACTIVE_3430975138_828"  26.10 KB       0 rows
. . exported "SYS"."WRH$_ACTIVE_SESSION_HISTORY":"WRH$_ACTIVE_3430975138_926"  26.10 KB       0 rows
. . exported "SYS"."WRH$_DB_CACHE_ADVICE":"WRH$_DB_CAC_3430975138_1021"  91.25 KB    1296 rows
. . exported "SYS"."WRH$_DB_CACHE_ADVICE":"WRH$_DB_CAC_3430975138_828"  9.851 KB       0 rows
. . exported "SYS"."WRH$_DB_CACHE_ADVICE":"WRH$_DB_CAC_3430975138_852"  9.851 KB       0 rows
. . exported "SYS"."WRH$_DB_CACHE_ADVICE":"WRH$_DB_CAC_3430975138_895"  9.851 KB       0 rows
. . exported "SYS"."WRH$_DB_CACHE_ADVICE":"WRH$_DB_CAC_3430975138_926"  9.851 KB       0 rows
. . exported "SYS"."WRH$_DB_CACHE_ADVICE":"WRH$_DB_CAC_3430975138_950"  9.851 KB       0 rows
. . exported "SYS"."WRH$_DB_CACHE_ADVICE":"WRH$_DB_CAC_3430975138_974"  9.851 KB       0 rows
. . exported "SYS"."WRH$_DB_CACHE_ADVICE":"WRH$_DB_CAC_3430975138_997"  9.851 KB       0 rows
. . exported "SYS"."WRH$_FILESTATXS":"WRH$_FILEST_3430975138_950"  10.60 KB       0 rows
. . exported "SYS"."WRH$_FILESTATXS":"WRH$_FILEST_3430975138_974"  10.60 KB       0 rows
. . exported "SYS"."WRH$_INST_CACHE_TRANSFER":"WRH$_INST_C_3430975138_997"  15.52 KB       0 rows
. . exported "SYS"."WRH$_INTERCONNECT_PINGS":"WRH$_INTERC_3430975138_828"  8.609 KB       0 rows
. . exported "SYS"."WRH$_INTERCONNECT_PINGS":"WRH$_INTERC_3430975138_852"  8.609 KB       0 rows
. . exported "SYS"."WRH$_INTERCONNECT_PINGS":"WRH$_INTERC_3430975138_895"  8.609 KB       0 rows
. . exported "SYS"."WRH$_INTERCONNECT_PINGS":"WRH$_INTERC_3430975138_926"  8.609 KB       0 rows
. . exported "SYS"."WRH$_INTERCONNECT_PINGS":"WRH$_INTERC_3430975138_974"  8.609 KB       0 rows
